,date,cases,deaths,new cases,new deaths,current active,infection rate,infection rate weekly avg,case growth
72567,2020-04-19,1615,15.0,68.0,2.0,1276.0,0.0011384674408126303,0.0010410884523687376,0.04395604395604396
75343,2020-04-20,1671,15.0,56.0,0.0,1293.0,0.0011536351104786291,0.0010735906016530212,0.0346749226006192
78125,2020-04-21,1714,18.0,43.0,3.0,1300.0,0.00115988062151757,0.0011050730756656409,0.02573309395571514
80917,2020-04-22,1795,19.0,81.0,1.0,1333.0,0.001189323744986862,0.0011313297139109839,0.047257876312718786
83718,2020-04-23,1889,20.0,94.0,1.0,1394.0,0.0012437489126119173,0.0011580961897921585,0.05236768802228412
86525,2020-04-24,1975,23.0,86.0,3.0,1412.0,0.0012598087981406222,0.0011810388834045942,0.04552673372154579
89340,2020-04-25,2051,25.0,76.0,2.0,1377.0,0.0012285812429459182,0.001196206553070593,0.03848101265822785
92157,2020-04-26,2144,25.0,93.0,0.0,1379.0,0.00123036567467133,0.0012093348721932645,0.045343734763529986
94986,2020-04-27,2190,24.0,46.0,-1.0,1426.0,0.0012722998202185037,0.001226286973584675,0.021455223880597014
97828,2020-04-28,2256,28.0,66.0,4.0,1422.0,0.0012687309567676803,0.0012418370214775478,0.030136986301369864
100678,2020-04-29,2348,28.0,92.0,0.0,1459.0,0.001301742943687796,0.0012578969070062528,0.040780141843971635
103533,2020-04-30,2438,29.0,90.0,1.0,1481.0,0.001321371692667324,0.0012689858755855967,0.03833049403747871
106397,2020-05-01,2526,30.0,88.0,1.0,1492.0,0.0013311860671570879,0.0012791826283022347,0.03609515996718622
109266,2020-05-02,2609,30.0,83.0,0.0,1515.0,0.001351707031999322,0.0012967720267384353,0.03285827395091053
112140,2020-05-03,2707,31.0,98.0,1.0,1557.0,0.0013891800982329665,0.0013194598015329548,0.037562284400153315
115023,2020-05-04,2769,31.0,62.0,0.0,1588.0,0.001416838789976847,0.0013401082257841466,0.022903583302548946
117982,2020-05-05,2832,35.0,63.0,4.0,1617.0,0.0014427130499953158,0.0013649628105309518,0.02275189599133261
120946,2020-05-06,2919,38.0,87.0,3.0,1603.0,0.0014302220279174343,0.0013833169654209,0.03072033898305085
123927,2020-05-07,3010,39.0,91.0,1.0,1606.0,0.0014328986755055518,0.0013992493915406469,0.03117505995203837
126912,2020-05-08,3104,39.0,94.0,0.0,1621.0,0.0014462819134461393,0.0014156916552962257,0.03122923588039867
129901,2020-05-09,3206,44.0,102.0,5.0,1628.0,0.00145252742448508,0.0014300945685084766,0.03286082474226804
132891,2020-05-10,3291,44.0,85.0,0.0,1647.0,0.0014694795258764905,0.0014415659153146944,0.026512788521522147
135882,2020-05-11,3370,48.0,79.0,4.0,1666.0,0.0014864316272679011,0.0014515077492134162,0.024004861744150716
138872,2020-05-12,3425,51.0,55.0,3.0,1678.0,0.001497138217620371,0.0014592827731598529,0.016320474777448073
141868,2020-05-13,3530,52.0,105.0,1.0,1702.0,0.0015185513983253108,0.0014719012546466923,0.030656934306569343
144865,2020-05-14,3609,52.0,79.0,0.0,1688.0,0.0015060603762474293,0.001482352926181246,0.02237960339943343
147869,2020-05-15,3717,55.0,108.0,3.0,1710.0,0.0015256891252269575,0.0014936968135785059,0.029925187032418952
150877,2020-05-16,3785,55.0,68.0,0.0,1704.0,0.0015203358300507224,0.001503383728659312,0.018294323379069142
153888,2020-05-17,3883,56.0,98.0,1.0,1708.0,0.0015239046935015457,0.0015111587526057484,0.025891677675033024
156905,2020-05-18,3942,56.0,59.0,0.0,1720.0,0.0015346112838540156,0.001518041560689479,0.015194437290754571
159929,2020-05-19,4019,62.0,77.0,6.0,1729.0,0.0015426412266183681,0.0015245419905463356,0.019533231861998984
162957,2020-05-20,4123,62.0,104.0,0.0,1741.0,0.0015533478169708378,0.0015295129074956969,0.025877083851704404
165986,2020-05-21,4217,65.0,94.0,3.0,1743.0,0.0015551322486962497,0.0015365231749883857,0.022798932815910746
169022,2020-05-22,4308,65.0,91.0,0.0,1747.0,0.0015587011121470729,0.0015412391731198308,0.021579321792743657
172063,2020-05-23,4441,68.0,133.0,3.0,1794.0,0.0016006352576942466,0.0015527105199260487,0.030872794800371403
175106,2020-05-24,4515,68.0,74.0,0.0,1771.0,0.0015801142928520127,0.001560740462690401,0.016662913758162576
178151,2020-05-25,4583,68.0,68.0,0.0,1777.0,0.0015854675880282475,0.0015680056490010059,0.015060908084163898
181195,2020-05-26,4632,70.0,49.0,2.0,1765.0,0.0015747609976757776,0.001572594187723493,0.010691686668121318
184246,2020-05-27,4682,71.0,50.0,1.0,1730.0,0.0015435334424810738,0.0015711921342249553,0.01079447322970639
187303,2020-05-28,4806,71.0,124.0,0.0,1764.0,0.001573868781813072,0.0015738687818130728,0.02648440837249039
190367,2020-05-29,4994,71.0,188.0,0.0,1858.0,0.0016577370729074193,0.001588016776207408,0.03911776945484811
193433,2020-05-30,5118,74.0,124.0,3.0,1882.0,0.001679150253612359,0.0015992332041957099,0.024829795754905886
196503,2020-05-31,5242,74.0,124.0,0.0,1921.0,0.0017139466722578861,0.0016183521155394062,0.02422821414615084
199576,2020-06-01,5340,74.0,98.0,0.0,1944.0,0.00173446763710012,0.001639637836835388,0.018695154521175122
202652,2020-06-02,5449,74.0,109.0,0.0,2001.0,0.001785323941274352,0.0016697182573494702,0.02041198501872659
205731,2020-06-03,5621,78.0,172.0,4.0,2065.0,0.0018424257564875245,0.0017124171593503915,0.03156542484859607
208813,2020-06-04,5760,78.0,139.0,0.0,2125.0,0.001895958708249874,0.0017584300059842203,0.024728695961572674
211899,2020-06-05,5918,81.0,158.0,3.0,2175.0,0.0019405695013851652,0.0017988346386238984,0.027430555555555555
214987,2020-06-06,6096,81.0,178.0,0.0,2285.0,0.0020387132462828055,0.0018502007804339622,0.030077728962487327
218078,2020-06-07,6182,81.0,86.0,0.0,2274.0,0.0020288988717930417,0.0018951939517961275,0.01410761154855643
221171,2020-06-08,6313,83.0,131.0,2.0,2344.0,0.0020913539821824493,0.001946177715379317,0.02119055321902297
224268,2020-06-09,6437,85.0,124.0,2.0,2395.0,0.0021368569911804462,0.001996396722508759,0.01964200855377792
227370,2020-06-10,6619,85.0,182.0,0.0,2473.0,0.0022064498284715003,0.0020484001613636127,0.028274040702190462
230475,2020-06-11,6783,87.0,164.0,2.0,2544.0,0.0022697971547236137,0.002101805653717004,0.024777156670191872
233582,2020-06-12,6966,93.0,183.0,6.0,2630.0,0.0023465277189163147,0.0021597996847928826,0.02697921273772667
236690,2020-06-13,7187,93.0,221.0,0.0,2721.0,0.0024277193624225447,0.0022153719870985594,0.03172552397358599
239799,2020-06-14,7309,93.0,122.0,0.0,2769.0,0.002470545723832424,0.002278464394532757,0.016975093919577015
242911,2020-06-15,7506,95.0,197.0,2.0,2896.0,0.0025838571383960634,0.002348821988277559,0.026953071555616364
246024,2020-06-16,7644,96.0,138.0,1.0,2986.0,0.0026641565660395876,0.002424150498971722,0.01838529176658673
249138,2020-06-17,7846,99.0,202.0,3.0,3136.0,0.002797988945445461,0.002508656087110859,0.02642595499738357
252254,2020-06-18,8140,100.0,294.0,1.0,3305.0,0.002948773426242745,0.002605652697327878,0.037471322967117
255372,2020-06-19,8404,102.0,264.0,2.0,3379.0,0.003014797400082976,0.0027011197946374015,0.032432432432432434
258500,2020-06-20,8713,102.0,309.0,0.0,3567.0,0.0031825339822716707,0.002808950454615848,0.03676820561637316
261628,2020-06-21,8878,102.0,165.0,0.0,3608.0,0.0032191148326426097,0.0029158888987315884,0.01893722024561001
264758,2020-06-22,9073,102.0,195.0,0.0,3705.0,0.0033056597713250744,0.00301900356057859,0.021964406397837352
267889,2020-06-23,9252,105.0,179.0,3.0,3772.0,0.0033654382341263647,0.0031191866560195585,0.01972886586575554
